OLD_URL,CURRENT_STATUS,INDEXABLE,CURRENT_TITLE,CURRENT_H1,CURRENT_CANONICAL,CURRENT_TOPIC,ORGANIC_VALUE,BACKLINK_VALUE,NEW_URL,ACTION,REDIRECT_TYPE,NEW_PRIMARY_KEYWORD,NOTES
/,200,YES,Agencia de Transformación Digital y SEO en Punta Arenas | PatagoniaCoach,Transformación digital para empresas de Magallanes.,https://agenciapatagoniacoach.cl,Home / Generalista,HIGH,HIGH,/,UPDATE_CONTENT,,desarrollo web aplicaciones seo e inteligencia artificial patagonia,"Preservar URL raíz. Rediseñar Hero y narrativa hacia los 3 pilares: Desarrollo, SEO, IA."
/servicios/desarrollo-web,200,YES,Diseño y Creación de Páginas Web Premium en Punta Arenas,Servicio de Desarrollo Web Corporativo y Arquitectura Digital,https://agenciapatagoniacoach.cl/servicios/desarrollo-web,Desarrollo Web,HIGH,HIGH,/servicios/desarrollo-web,UPDATE_CONTENT,,desarrollo web punta arenas magallanes,"Pilar 1. Preservar URL histórica. Reorientar de diseño web genérico a sitios pensados para vender, informar, posicionar y operar."
/servicios/aplicaciones-web-pro,200,YES,Desarrollo de Aplicaciones Web Pro y Sistemas a Medida,Sistemas Vivos.,https://agenciapatagoniacoach.cl/servicios/aplicaciones-web-pro,Aplicaciones Web Pro,MEDIUM,MEDIUM,/servicios/aplicaciones-web-pro,UPDATE_CONTENT,,desarrollo de aplicaciones web y software a medida magallanes,Pilar 1 diferenciador. URL ya indexada y rastreada por Google (2026-06-21). Recomendado mantener para no romper señales. Evaluar alias 301 opcional a /servicios/aplicaciones-web solo si se aprueba.
/servicios/creacion-paginas-web-punta-arenas,200,YES,Creación de Páginas Web en Punta Arenas | Diseño y SEO,Creación de páginas web profesionales en Punta Arenas,https://agenciapatagoniacoach.cl/servicios/creacion-paginas-web-punta-arenas,Creación Web Local,MEDIUM,LOW,/servicios/desarrollo-web,REVIEW,301,creacion de paginas web punta arenas,"SEARCH CONSOLE DATA REQUIRED. Canibaliza con /servicios/desarrollo-web. Si tiene clics/impresiones, mantener como landing long-tail transicional o consolidar (301)."
/servicios/seo-local-magallanes,200,YES,Posicionamiento SEO Local y GEO en Magallanes | PatagoniaCoach,Servicios de SEO Local y Posicionamiento Web en Punta Arenas y Magallanes,https://agenciapatagoniacoach.cl/servicios/seo-local-magallanes,SEO Local Regional,HIGH,HIGH,/servicios/seo-local-magallanes,UPDATE_CONTENT,,seo tecnico arquitectura web y posicionamiento magallanes,"Pilar 2. Preservar URL histórica (rastreada 2026-07-30). Expandir a SEO Técnico, Core Web Vitals, Schema, indexación y capacidad de desarrollo directo."
/servicios/seo-local-punta-arenas,200,YES,SEO Local en Punta Arenas | Posiciona en Google Maps,SEO local y posicionamiento web en Punta Arenas,https://agenciapatagoniacoach.cl/servicios/seo-local-punta-arenas,SEO Local Hiperlocal,MEDIUM,LOW,/servicios/seo-local-magallanes,REVIEW,301,seo local punta arenas google maps,"SEARCH CONSOLE DATA REQUIRED. Evaluar canibalización con /servicios/seo-local-magallanes. Si aporta tráfico de Map Pack, mantener; si no, consolidar 301."
/servicios/automatizacion-con-ia,200,YES,Automatización con IA para Empresas en Punta Arenas,Agencia de Inteligencia Artificial en Punta Arenas: Consultoría y Automatización,https://agenciapatagoniacoach.cl/servicios/automatizacion-con-ia,Inteligencia Artificial y Automatización,HIGH,HIGH,/servicios/automatizacion-con-ia,UPDATE_CONTENT,,inteligencia artificial y automatizacion de procesos magallanes,"Pilar 3. URL principal para Soluciones IA, Automatización (n8n/Make/APIs) y Consultoría. Reorientar a problemas empresariales concretos y medibles."
/servicios/inteligencia-artificial-punta-arenas,200,YES,Inteligencia Artificial en Punta Arenas | PatagoniaCoach: Evolución Operativa,Agencia de Inteligencia Artificial en Punta Arenas: Consultoría y Automatización,https://agenciapatagoniacoach.cl/servicios/inteligencia-artificial-punta-arenas,IA Punta Arenas (Duplicado exacto de IALanding.jsx),MEDIUM,LOW,/servicios/automatizacion-con-ia,MERGE,301,inteligencia artificial punta arenas,Canibalización crítica: renderiza exactamente el mismo componente que /servicios/automatizacion-con-ia. Consolidar mediante 301 permanente.
/servicios/automatizacion-ia-empresas,200,YES,Automatización con IA para Empresas | Consultoría Magallanes,Automatización con inteligencia artificial para empresas en Punta Arenas,https://agenciapatagoniacoach.cl/servicios/automatizacion-ia-empresas,Automatización IA Corporativa,LOW,LOW,/servicios/automatizacion-con-ia,REVIEW,301,automatizacion con ia empresas,SEARCH CONSOLE DATA REQUIRED. Canibaliza intención con /servicios/automatizacion-con-ia. Consolidar mediante 301 si no tiene tráfico relevante.
/servicios/ia-generativa-visual,200,YES,IA Generativa Visual e Imagen Corporativa en Punta Arenas,Visión Ilimitada.,https://agenciapatagoniacoach.cl/servicios/ia-generativa-visual,IA Generativa Visual,LOW,LOW,/servicios/automatizacion-con-ia,MERGE,301,ia generativa visual corporativa,No forma parte de la oferta prioritaria. Integrar conceptos útiles en Soluciones de IA y redirigir 301 a /servicios/automatizacion-con-ia.
